"feature","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"Myl9","Myl9",5104.77951306796,-1.10778785834263,0.256062521844976,-4.32623974161008,1.5167633780277e-05,0.00125422341832029,"Down"
"Ccl11","Ccl11",90.8609022167553,1.10183152730699,0.286570456505708,3.84488876048896,0.000120607137821226,0.00381508339707564,"Up"
"Gdf5","Gdf5",51.9947112379163,-1.09896513024926,0.356685581149662,-3.08104725373841,0.00206273910144527,0.0211231364997887,"Down"
"Mmp9","Mmp9",107.467361865978,-1.09894024151485,0.252586501467628,-4.35074810066875,1.35673844965535e-05,0.00121360703572813,"Down"
"Tril","Tril",606.56202787279,-1.09680712047349,0.281633167751027,-3.89445294825183,9.84205928336421e-05,0.00343016253379844,"Down"
"Col28a1","Col28a1",25.2797716355167,1.09532576834989,0.367134083473781,2.98344887509775,0.00285019648038819,0.0258546701548712,"Up"
"Rora","Rora",167.089003777525,1.09399432685247,0.296014455368486,3.69574629553357,0.000219241823284723,0.00544356490276978,"Up"
"Aoc3","Aoc3",670.478072341357,-1.09371455604562,0.275078451332768,-3.97600957380167,7.00813051621827e-05,0.00280241875693805,"Down"
"Hsd17b14","Hsd17b14",19.4619663175553,1.09128947057657,0.406400634870747,2.6852553291991,0.00724744165870362,0.0466148545162427,"Up"
"Ly6c2","Ly6c2",642.227487285651,1.08954911003093,0.29064990328054,3.74866496679779,0.000177778384579758,0.00485610298064662,"Up"
"Mchr1","Mchr1",264.997583377616,-1.08896684263427,0.267124914410332,-4.07662027721419,4.56950237712737e-05,0.0022504062999677,"Down"
"Igf2bp2","Igf2bp2",2940.1259643828,1.07768977623667,0.211603771789215,5.09296109008014,3.52514065124143e-07,0.000148793983675994,"Up"
"Adgrf4","Adgrf4",26.8317969612238,-1.07383870765486,0.311267357718364,-3.4498918085284,0.000560811261929297,0.00940960294929384,"Down"
"Ptprv","Ptprv",242.132268867862,-1.0727971600765,0.164085307516596,-6.53804521753419,6.23280826221339e-11,4.20932705988581e-07,"Down"
"Ccl2","Ccl2",1350.78084948605,1.07243163550244,0.217494017935686,4.93085578022457,8.18701618282732e-07,0.000245778685905545,"Up"
"Tagln","Tagln",11746.4065960424,-1.07217430808764,0.371524756234927,-2.88587581337289,0.00390326140763702,0.0316264858026114,"Down"
"Flrt1","Flrt1",23.8481102700879,-1.06855620683443,0.360629135148827,-2.96303349532046,0.00304623418826356,0.0269453079115101,"Down"
"Actg2","Actg2",4570.04054648643,-1.06851085197989,0.233410006793354,-4.57782794602239,4.69828869975219e-06,0.000667997741763714,"Down"
"Sparcl1","Sparcl1",26.2044015131825,-1.06730412091096,0.383224477908007,-2.78506249584392,0.00535174070840548,0.0383276573427534,"Down"
"Aunip","Aunip",202.15558065263,-1.05933522360841,0.330188260372545,-3.20827646147439,0.00133533069676797,0.016608021842767,"Down"
